postID,url,time,content,address,ward,district,area,price,amenities,contact
5fa9ec8776b056ddd2e0aef06e6c22e1,https://phongtro123.com/cho-thue-can-ho-studio-phong-tro-sat-san-bay-da-nang-pr680329.html,2025-04-27 08:08:00,"- Cho thuê phòng giá từ: 3,5 triệu (phòng không có gác lửng), 4,2 triệu (phòng có gác lửng). Cọc 1 tháng.
- Wifi: miễn phí
- Thiết bi: tủ lạnh mini, bàn làm việc, nệm, tủ quần áo, điều Hòa, nước nóng, bếp từ.
- Không gian chung nhiều cây xanh, thoáng mát, yên tĩnh, an toàn.
- Thời gian cho thuê: tối thiểu 3 tháng.
- Xe để khu vực chung, hạn chế tiếp khách tránh ồn ào các căn khác.
- Số người ở: không quá 2 người/phòng.
- Không nuôi động vật.","k34 Thi Sách, Phường Hòa Thuận Tây, Quận Hải Châu, Đà Nẵng",Hòa Thuận Tây,Hải Châu,25.0,3500000,"['Có máy giặt', 'Có tủ lạnh', 'Có kệ bếp', 'Có gác', 'Đầy đủ nội thất', 'Internet/wifi', 'Có máy lạnh', 'Giờ giấc tự do', 'Có nước nóng']","""0935828377"""
f6a56c5b92e8d82e1d8c490df4dfa54f,https://phongtro123.com/can-ho-mini-cao-cap-full-noi-that-moi-xay-ngay-trung-tam-tp-pr677825.html,2025-04-23 11:48:00,"Cho thuê phòng full option. 129 Nguyễn Khánh Toàn (Gần góc Phan Đăng Lưu vs Lương Nhữ Hộc)
Phòng đầy đủ tiện nghi giá từ: 3,3- 3.8triệu/tháng. Gảm giá 5% trả 03 tháng/ lần
DT: 25m², phòng thoáng mát, an ninh. Gác gỗ rộng rãi.
Địa chỉ: Mặt tiền 129 Nguyễn Khánh Toàn. Ngay trung tâm Quận Hải Châu Đà Nẵng, chỉ mất vài phút đi bộ là đến Quảng Trường thời đại Đường 2/9, Khu vui chơi giải trí Sun Group, Cầu rồng, Cầu sông Hàn, Biển Mỹ khê….
Tiện ích:
- Phòng đầy đủ tiện nghi: Bàn gỗ ghế da, tủ áo quần gỗ, nệm, chăn, gối, điều Hòa , tủ lạnh, quạt hút, Tủ bếkeejtur treo... bằng gỗ sồi rất đẹp. Điện 3.5k/kw , nước 50k/nguoi . wifi miễn phí. Ngoài ra không thu thêm bất cứ khoản phí nào.
- Thang máy Fuji nhập khẩu êm ái
- Cửa gỗ rất đẹp, khóa vân tay+ thẻ từ+Số pass
- Phòng có cửa sổ thoáng, sân thượng rộng để phơi đồ, cửa lưới chống muỗi.
- Có bếp từ và tủ lạnh.
- Phòng vệ sinh dạng VIP đầy đủ, có nước nóng lạnh.
- Máy giặt chung sân thượng, hoặc giặt dịch vụ Tầng 1...
- Có thang máy êm, bảo vệ 24/24, chỗ để xe rộng
Liên hệ : Mr Đăng: 0905313100, MS Quyên: 0915857220","129 Đường Nguyễn Khánh Toàn, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng",Hòa Cường Bắc,Hải Châu,25.0,3300000,"['Có kệ bếp', 'Có thang máy', 'Giờ giấc tự do', 'Đầy đủ nội thất', 'Có máy giặt', 'Có tủ lạnh', 'Internet/wifi', 'Có gác', 'Có bảo vệ 24/24', 'Có chỗ để xe', 'Có máy lạnh', 'Có nước nóng', 'Không chung chủ']","""0905313100"""
b59cdcaa62ee0464b361ea2f779570eb,https://phongtro123.com/nha-tro-duong-tran-van-thanh-gan-ho-xuan-huong-pr664363.html,2025-04-20 21:37:00,"Cho thuê phòng trọ, vị trí gần đường Hồ Xuân Hương giao nhau với đường Võ Nguyên Giáp phường Khuê Mỹ quận ngũ hành Sơn TP Đà Nẵng, gần resort Purama nơi trung tâm khu du lịch biển bán đảo Sơn Trà Đà Nẵng, tập trung nhiều nhà hàng khách sạn với đầy đủ các dịch vụ phục vụ cho khách du lịch trong nước và quốc tế rất đông đúc hàng năm.
- Có tất cả các dịch vụ tiện ích phục vụ cho sinh hoạt đời sống, đường phố rộng rãi thuận lợi cho việc đi lại, cách trường đại học kiến trúc, đại học kinh tế Đà Nẵng 1 km, cách cầu rồng 4 km, cách bãi tắm biển Sao Biển 300 m. Diện tích 22 m², rộng rãi thoáng mát, nhà 2 mặt tiền, phòng có cửa sổ thông ra ngoài trời, có ánh sáng nắng gió tự nhiên tốt cho sức khỏe. Có lắp sẵn máy lạnh.
- Trật tự an ninh rất tốt, giờ giấc tự do, ưu tiên sinh viên, người độc thân gọn gàng sạch sẽ, có công việc ổn định thuê để nghỉ ngơi sau ngày học tập và làm việc.
- Yêu cầu không hút thuốc, không nuôi thú cưng, không trồng cây.
- Giá 2.400.000 đồng. Liên hệ đt 0935652818","15 Trần Văn Thành, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng",Khuê Mỹ,Ngũ Hành Sơn,22.0,2400000,"['Có máy lạnh', 'Giờ giấc tự do']","""0935652818"""
f6fc057b27a1491d5a96bd0af4add0f9,https://phongtro123.com/khai-truong-can-ho-sat-bien-moi-100-full-noi-that-pr679672.html,2025-04-18 09:54:00,"TƯNG BỪNG KHAI TRƯƠNG
️ Khai Trương 11P Studio Bancol Full Nội Thất!! Kế Bên Đại Học FPT, Việt Hàn,…
Trà Khê - Khu FPT
- Trống sẵn, nội thất đầy đủ như hình
- KDC đầy đủ tiện nghi
- Có chỗ đậu ô tô, bãi xe miễn phí
- Dưới nhà có Market
- Bán kính 500m tiện nghi đầy đủ
️ Ngọc Thuận - SĐT | ZALO: 0909280263","Phường Hòa Hải, Quận Ngũ Hành Sơn, Đà Nẵng",Hòa Hải,Ngũ Hành Sơn,40.0,4500000,"['Có máy giặt', 'Có tủ lạnh', 'Có kệ bếp', 'Giờ giấc tự do', 'Có bảo vệ 24/24', 'Có chỗ để xe', 'Có máy lạnh', 'Đầy đủ nội thất', 'Không chung chủ']","""0909280263"""
8f44b9f0c5ca6d6c7aca0488f0b2b140,https://phongtro123.com/cho-thue-phong-tro-moi-xay-dep-co-cac-noi-that-co-ban-pr679403.html,2025-04-15 19:04:00,"Cho thuê phòng trọ cao cấp mới xây, nhà mới xây đang Hòan thiện 1 tuần nữa có thể vào ở đc.
Phòng mới đẹp, có đầy đủ nội thất cơ bản: máy lạnh, hệ thống nước nóng lạnh
có sân để xe
có hệ thống camera
có hệ thống phòng cháy chữa cháy đúng quy định
có gác lửng, không chung chủ.
Phòng nào cũng có ban công, chỗ phơi đồ riêng.
Địa chỉ đường k20 phường Khuê Mỹ, phía sau bệnh viện
600 giường. Nhiều phòng với các diện tích khác nhau.
Giá từ 2,7 tr đến 3,5 tr.
lh 0938986275","Đường K20, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng",Khuê Mỹ,Ngũ Hành Sơn,25.0,3200000,"['Có kệ bếp', 'Có gác', 'Đầy đủ nội thất', 'Có chỗ để xe', 'Có máy lạnh', 'Giờ giấc tự do', 'Có nước nóng', 'Không chung chủ']","""0983094445"""
b093fa788e532909e754fb97747872ae,https://phongtro123.com/cho-thue-phong-tro-20m2-khu-vuc-thanh-khe-da-nang-pr677917.html,2025-03-27 15:09:00,"Phòng có nội thất cơ bản: bàn, ghế, nệm nằm như ảnh
Có sân để xe
Không bao giờ ngập lụt
Phòng rộng rãi, thoáng mát
Chìa khoá cổng ngõ riêng, giờ giấc đi lại thoải mái
Chủ nhà dễ tính, thân thiện
Zalo ngay: Chú Sơn (0987 376 225) để thuê phòng nhanh nhất","113/21 Trần Xuân Lê, Phường Hòa Khê, Quận Thanh Khê, Đà Nẵng",Hòa Khê,Thanh Khê,20.0,2000000,"['Giờ giấc tự do', 'Có kệ bếp', 'Đầy đủ nội thất', 'Không chung chủ', 'Có chỗ để xe']","""0931928011"""
38bd82255af7ca1b73ea50f117bb0e6b,https://phongtro123.com/cho-thue-can-ho-mini-can-ho-moi-xay-nha-nguyen-can-khong-chung-chu-pr677900.html,2025-03-27 14:19:00,"Phòng mới xây, tiện nghi đầy đủ (điều Hòa, máy giặt, tủ, bàn ghế, tủ bếp nấu ăn... ).
Không chung chủ. Tự do tiếp bạn bè, người thân đến chơi.
Tầng thượng sinh hoạt chung thoáng mát, có bàn ghế, giường nằm để chill.
Số tầng: 5, Số phòng ngủ: : 13","56 Mai Lão Bạng, Phường Thuận Phước, Quận Hải Châu, Đà Nẵng",Thuận Phước,Hải Châu,30.0,3000000,"['Có máy giặt', 'Có kệ bếp', 'Có chỗ để xe', 'Có máy lạnh', 'Không chung chủ']","""0905208816"""
4b6baa4e64999d11470e9ba66189d69d,https://phongtro123.com/cho-thue-phong-tro-dc-41-8-12-dang-thuy-tram-da-nang-pr675083.html,2025-02-21 09:27:00,"CHO THUÊ PHÒNG TRỌ TẠI TRUNG TÂM ĐÀ NẴNG
L41/8/12 Đặng Thùy Trâm - Đà Nẵng
Giá cho thuê: 1tr9/tháng
Liên hệ: 0343250161","41/8/12 Đường Đặng Thùy Trâm, Phường Hòa Thuận Tây, Quận Hải Châu, Đà Nẵng",Hòa Thuận Tây,Hải Châu,20.0,1900000,[],"""0343250161"""
540038c1bf7730c5b3118dd96b7d474e,https://phongtro123.com/cho-thue-phong-tro-quan-son-tra-gia-tot-pr676466.html,2025-03-10 18:31:00,"Cho thuê phòng trọ quận Sơn Trà
Điện tích 40m2
Giá cho thuê 3.500.000 VND/ tháng
Lh 0933844833","Đường Dương Đình Nghệ, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng",An Hải Bắc,Sơn Trà,40.0,3500000,[],"""0933844833"""
992de7511bf32e39d09694664df3b906,https://phongtro123.com/phong-tro-sinh-vien-gan-dai-hoc-kien-truc-pr676347.html,2025-03-08 18:06:00,"+ Năm trục đường núi thành cách trường đại học Kiến Trúc và Đông Á chỉ
2 phút đi bộ.
+ Khu dân trí cao, yên tĩnh rất thích hợp cho các bạn luyện....
Thoáng mát là điều không thể thiếu, có thể ở ghép tùy ý các bạn, lối đi riêng biệt.
Chỗ để xe rộng rãi, an ninh cực kỳ
tốt.
******YÊU CÂU******
Giữ vệ sinh, và không ảnh hưởng
đền các bạn xung quanh
- Các bạn xem tui vui lòng gọi điện hoặc
zalo cho mình theo
SĐT: 0914065814","Núi Thành, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng",Hòa Cường Nam,Hải Châu,30.0,2200000,"['Có gác', 'Không chung chủ', 'Có chỗ để xe', 'Giờ giấc tự do']","""0914065814"""
